entry_time;exit_time;setup;side;grade;score;outcome;r_multiple
2026-07-29 22:24:00;2026-07-29 22:26:00;FINISHED_AUCTION;SHORT;FORT;57.4;STOP;-1.000
2026-07-29 22:34:00;2026-07-29 22:36:00;FINISHED_AUCTION;SHORT;FORT;53.7;STOP;-1.000
2026-07-29 23:24:00;2026-07-29 23:30:00;FINISHED_AUCTION;LONG;FORT;51.5;TARGET1;2.439
2026-07-30 04:00:00;2026-07-30 04:02:00;FINISHED_AUCTION;LONG;FORT;51.2;TARGET1;1.226
2026-07-30 07:40:00;2026-07-30 07:50:00;FINISHED_AUCTION;SHORT;FORT;58.5;TARGET1;1.000
2026-07-30 15:14:00;2026-07-30 15:18:00;FINISHED_AUCTION;LONG;FORT;51.6;STOP;-1.000
2026-07-31 16:32:00;2026-07-31 16:36:00;FINISHED_AUCTION;SHORT;FORT;54.0;TARGET1;1.579
2026-07-31 16:52:00;2026-07-31 16:54:00;FINISHED_AUCTION;SHORT;FORT;53.2;STOP;-1.000
2026-07-31 16:48:00;2026-07-31 16:56:00;FINISHED_AUCTION;SHORT;FORT;56.6;STOP;-1.000
2026-07-31 19:44:00;2026-07-31 19:52:00;CUM_DELTA_DIV;SHORT;TRESFORT;72.5;STOP;-1.000
2026-07-31 23:00:00;2026-07-31 23:04:00;DELTA_FLIP;SHORT;FORT;62.7;TARGET1;1.000
2026-08-03 01:18:00;2026-08-03 01:26:00;DELTA_FLIP;SHORT;FORT;54.1;TARGET1;2.134
2026-08-03 02:16:00;2026-08-03 02:20:00;FINISHED_AUCTION;LONG;FORT;52.5;TARGET1;1.000
2026-08-03 09:06:00;2026-08-03 09:10:00;FINISHED_AUCTION;LONG;TRESFORT;66.7;STOP;-1.000
2026-08-03 09:10:00;2026-08-03 09:24:00;FINISHED_AUCTION;SHORT;FORT;50.9;STOP;-1.000
2026-08-03 09:04:00;2026-08-03 09:24:00;FINISHED_AUCTION;SHORT;FORT;53.3;STOP;-1.000
2026-08-04 07:26:00;2026-08-04 07:50:00;STACKED_IMB_RETEST;LONG;FORT;55.1;TARGET1;2.792
2026-08-05 02:14:00;2026-08-05 02:16:00;FINISHED_AUCTION;SHORT;FORT;62.1;STOP;-1.000
2026-08-05 02:24:00;2026-08-05 02:26:00;STACKED_IMB_RETEST;SHORT;FORT;51.1;TARGET1;1.000
