entry_time;exit_time;setup;side;grade;score;outcome;r_multiple
2026-07-13 04:02:00;2026-07-13 04:20:00;FINISHED_AUCTION;LONG;FORT;55.5;STOP;-1.000
2026-07-13 04:22:00;2026-07-13 05:36:00;FINISHED_AUCTION;LONG;FORT;58.0;STOP;-1.000
2026-07-13 06:22:00;2026-07-13 06:32:00;FINISHED_AUCTION;LONG;FORT;60.0;STOP;-1.000
2026-07-13 09:30:00;2026-07-13 09:32:00;CUM_DELTA_DIV;LONG;FORT;58.0;STOP;-1.000
2026-07-13 09:32:00;2026-07-13 09:36:00;CUM_DELTA_DIV;LONG;FORT;61.2;TARGET1;1.000
2026-07-13 13:22:00;2026-07-13 13:26:00;FINISHED_AUCTION;LONG;FORT;60.7;TARGET1;1.000
2026-07-13 15:58:00;2026-07-13 16:02:00;FINISHED_AUCTION;SHORT;FORT;56.4;TARGET1;1.000
2026-07-14 07:34:00;2026-07-14 08:32:00;CUM_DELTA_DIV;LONG;FORT;61.7;STOP;-1.000
2026-07-14 22:34:00;2026-07-14 22:42:00;CUM_DELTA_DIV;LONG;FORT;56.2;STOP;-1.000
2026-07-14 22:42:00;2026-07-14 22:50:00;CUM_DELTA_DIV;LONG;FORT;50.7;STOP;-1.000
2026-07-14 22:32:00;2026-07-15 00:00:00;CUM_DELTA_DIV;LONG;FORT;57.8;SESSION_END;0.208
2026-07-15 05:48:00;2026-07-15 06:04:00;FINISHED_AUCTION;LONG;FORT;57.1;STOP;-1.000
2026-07-15 07:16:00;2026-07-15 07:18:00;CUM_DELTA_DIV;LONG;FORT;54.3;STOP;-1.000
2026-07-15 14:52:00;2026-07-15 15:04:00;FINISHED_AUCTION;SHORT;FORT;56.1;STOP;-1.000
2026-07-15 18:36:00;2026-07-15 18:38:00;DELTA_FLIP;SHORT;FORT;62.4;STOP;-1.000
2026-07-15 19:48:00;2026-07-15 20:32:00;FINISHED_AUCTION;LONG;FORT;53.8;STOP;-1.000
2026-07-15 22:14:00;2026-07-15 22:34:00;FINISHED_AUCTION;LONG;FORT;55.4;TARGET1;3.000
2026-07-16 04:54:00;2026-07-16 06:16:00;FINISHED_AUCTION;SHORT;FORT;52.0;TARGET1;1.588
2026-07-16 14:20:00;2026-07-16 14:40:00;CUM_DELTA_DIV;SHORT;TRESFORT;70.6;STOP;-1.000
2026-07-16 18:22:00;2026-07-16 19:08:00;FINISHED_AUCTION;SHORT;FORT;58.8;STOP;-1.000
2026-07-16 23:40:00;2026-07-16 23:50:00;CUM_DELTA_DIV;SHORT;FORT;55.7;STOP;-1.000
2026-07-17 03:46:00;2026-07-17 04:10:00;FINISHED_AUCTION;LONG;FORT;56.7;TARGET1;1.438
2026-07-17 03:40:00;2026-07-17 04:10:00;FINISHED_AUCTION;LONG;FORT;51.4;TARGET1;2.400
2026-07-17 05:54:00;2026-07-17 05:56:00;CUM_DELTA_DIV;LONG;FORT;51.9;TARGET1;1.000
2026-07-17 05:52:00;2026-07-17 05:56:00;FINISHED_AUCTION;SHORT;FORT;50.3;STOP;-1.000
2026-07-17 05:56:00;2026-07-17 07:24:00;DELTA_FLIP;LONG;TRESFORT;70.8;TARGET1;2.143
2026-07-17 18:06:00;2026-07-17 18:12:00;FINISHED_AUCTION;LONG;FORT;50.2;STOP;-1.000
2026-07-20 02:38:00;2026-07-20 03:06:00;FINISHED_AUCTION;LONG;FORT;50.2;STOP;-1.000
2026-07-20 05:48:00;2026-07-20 05:56:00;FINISHED_AUCTION;LONG;FORT;55.0;STOP;-1.000
2026-07-20 11:22:00;2026-07-20 11:34:00;FINISHED_AUCTION;SHORT;FORT;53.3;TARGET1;1.000
2026-07-20 11:20:00;2026-07-20 11:34:00;FINISHED_AUCTION;SHORT;FORT;62.9;TARGET1;1.000
2026-07-20 16:02:00;2026-07-20 16:06:00;CUM_DELTA_DIV;SHORT;FORT;61.7;TARGET1;1.000
2026-07-21 04:08:00;2026-07-21 04:12:00;FINISHED_AUCTION;LONG;FORT;57.0;STOP;-1.000
2026-07-21 06:32:00;2026-07-21 08:10:00;FINISHED_AUCTION;SHORT;FORT;50.3;STOP;-1.000
2026-07-21 18:26:00;2026-07-21 18:32:00;DELTA_FLIP;LONG;TRESFORT;66.5;TARGET1;1.000
2026-07-22 02:06:00;2026-07-22 02:22:00;FINISHED_AUCTION;LONG;FORT;50.3;STOP;-1.000
2026-07-22 02:54:00;2026-07-22 03:02:00;FINISHED_AUCTION;LONG;FORT;52.4;STOP;-1.000
2026-07-22 02:48:00;2026-07-22 03:02:00;FINISHED_AUCTION;LONG;FORT;65.3;STOP;-1.000
2026-07-22 04:04:00;2026-07-22 04:06:00;FINISHED_AUCTION;LONG;FORT;57.1;TARGET1;1.000
2026-07-22 14:44:00;2026-07-22 14:48:00;CUM_DELTA_DIV;LONG;TRESFORT;71.9;STOP;-1.000
2026-07-23 03:14:00;2026-07-23 03:18:00;FINISHED_AUCTION;LONG;FORT;57.6;STOP;-1.000
2026-07-23 06:18:00;2026-07-23 06:30:00;FINISHED_AUCTION;SHORT;FORT;50.6;TARGET1;1.000
2026-07-23 09:42:00;2026-07-23 09:48:00;FINISHED_AUCTION;LONG;FORT;54.2;STOP;-1.000
2026-07-24 02:44:00;2026-07-24 02:48:00;FINISHED_AUCTION;LONG;FORT;59.7;STOP;-1.000
2026-07-24 03:02:00;2026-07-24 03:16:00;FINISHED_AUCTION;LONG;FORT;65.7;TARGET1;2.176
2026-07-24 03:54:00;2026-07-24 04:00:00;FINISHED_AUCTION;LONG;FORT;55.3;STOP;-1.000
2026-07-24 18:24:00;2026-07-24 18:30:00;CUM_DELTA_DIV;SHORT;TRESFORT;75.9;TARGET1;1.000
2026-07-24 18:22:00;2026-07-24 18:30:00;CUM_DELTA_DIV;SHORT;TRESFORT;74.5;TARGET1;1.000
2026-07-24 18:28:00;2026-07-24 18:48:00;CUM_DELTA_DIV;SHORT;TRESFORT;80.8;STOP;-1.000
2026-07-24 21:22:00;2026-07-24 21:30:00;CUM_DELTA_DIV;SHORT;FORT;51.6;STOP;-1.000
2026-07-24 21:28:00;2026-07-24 21:38:00;CUM_DELTA_DIV;SHORT;FORT;53.7;TARGET1;1.000
2026-07-27 03:28:00;2026-07-27 03:30:00;FINISHED_AUCTION;LONG;FORT;54.1;TARGET1;1.000
2026-07-27 19:28:00;2026-07-27 21:20:00;FINISHED_AUCTION;SHORT;FORT;65.9;TARGET1;2.048
2026-07-28 05:50:00;2026-07-28 05:52:00;FINISHED_AUCTION;SHORT;FORT;57.8;TARGET1;1.000
2026-07-28 05:06:00;2026-07-28 05:52:00;CUM_DELTA_DIV;SHORT;TRESFORT;71.3;TARGET1;1.439
2026-07-28 05:52:00;2026-07-28 06:18:00;FINISHED_AUCTION;SHORT;FORT;61.0;STOP;-1.000
